user_id,transaction_date,region,product_category,sale_amount,status,city,age,subscription,raw_timestamp,email,username,price,store_id
U25321,2023-06-21,West,Electronics,461.72,Inactive,New York,51,Premium,2023-06-21 09:24:16,user34778@example.com,user_60643,461.72,S2
U26631,2023-04-11,South,Clothing,442.17,Pending,New York,54,Basic,2023-04-11 16:19:12,user54026@example.com,user_60872,442.17,S19
U62384,2023-05-12,North,Sports,189.83,Pending,Austin,26,Premium,2023-05-12 23:55:37,user36134@example.com,user_66887,,S9
U52145,2023-03-02,South,Home,298.88,Inactive,San Francisco,48,Pro,2023-03-02 16:15:38,user68346@example.com,user_15473,298.88,S22
U52145,2023-03-02,South,Home,298.88,Inactive,San Francisco,48,Pro,2023-03-02 16:15:38,user68346@example.com,user_15473,298.88,S22
U25201,2023-08-18,East,Books,167.94,Pending,San Francisco,27,Premium,2023-08-18 14:34:32,user4513@example.com,user_70457,167.94,S5
U31413,2023-10-24,North,Electronics,396.88,Active,Austin,49,Basic,2023-10-24 00:12:19,user7621@example.com,user_63803,396.88,S9
U20395,2023-07-26,West,Sports,213.67,,Los Angeles,61,Pro,2023-07-26 00:37:53,user59507@example.com,user_52290,213.67,S11
U62238,2023-02-24,East,Clothing,376.94,Pending,New York,18,Basic,2023-02-24 08:30:44,user37983@example.com,user_41259,,S40
U41666,2023-09-15,West,Books,264.12,,San Francisco,49,Premium,2023-09-15 19:04:12,user67225@example.com,user_68271,264.12,S6
U43626,2023-05-02,East,Sports,431.29,Active,New York,42,Premium,2023-05-02 11:23:15,user49048@example.com,user_52739,431.29,S29
U93305,2023-02-19,East,Books,94.34,Inactive,Austin,35,Pro,2023-02-19 09:17:04,user2223@example.com,user_98778,94.34,S24
U36211,2023-10-17,North,Electronics,188.49,Active,Los Angeles,18,Basic,2023-10-17 12:50:09,,user_89478,188.49,S23
U75772,2023-03-06,South,Clothing,152.57,Active,Los Angeles,38,Basic,2023-03-06 02:12:37,user15870@example.com,user_42701,152.57,S49
U70706,2023-11-13,South,Books,237.82,,Los Angeles,50,Pro,2023-11-13 06:38:45,user20267@example.com,user_95302,237.82,S35
U19903,2023-06-29,North,Electronics,73.74,Inactive,Los Angeles,65,Pro,2023-06-29 05:08:48,user80811@example.com,user_1885,,S21
U33683,2023-06-12,South,Books,203.79,Inactive,Seattle,32,Premium,2023-06-12 20:33:47,user44902@example.com,user_96728,203.79,S32
U21361,2023-03-25,West,Clothing,235.61,Pending,Austin,20,Basic,2023-03-25 12:14:57,user95613@example.com,user_38652,235.61,S41
U72367,2023-07-10,West,Home,48.04,Pending,Austin,22,Premium,2023-07-10 00:38:01,user48295@example.com,user_66969,48.04,S13
U18762,2023-04-03,East,Sports,312.78,Inactive,Seattle,57,Premium,2023-04-03 18:26:52,user47072@example.com,user_9291,312.78,S48
U60842,2023-06-19,West,Electronics,314.4,Pending,Chicago,27,Basic,2023-06-19 14:54:42,user27469@example.com,user_70677,314.4,S10
U84530,2023-08-07,South,Electronics,248.24,Active,San Francisco,22,Premium,2023-08-07 12:22:28,user69909@example.com,user_25971,248.24,S13
U66929,2023-07-27,West,Books,112.43,Inactive,New York,26,Pro,2023-07-27 09:06:44,user80229@example.com,user_5919,112.43,S32
U53826,2023-12-25,West,Books,180.18,,Austin,32,Pro,2023-12-25 17:13:24,user63711@example.com,user_83417,180.18,S21
U80540,2023-12-24,East,Sports,13.53,Inactive,Chicago,54,Premium,2023-12-24 17:03:27,user13472@example.com,user_81991,13.53,S44
U77250,2023-11-30,North,Clothing,457.85,Pending,New York,40,Pro,2023-11-30 16:17:37,user33879@example.com,user_62668,457.85,S8
U61631,2023-10-02,South,Sports,354.55,Inactive,Chicago,35,Premium,2023-10-02 17:47:01,user63299@example.com,user_19967,354.55,S20
U61878,2023-08-20,East,Home,165.12,Inactive,Seattle,40,Premium,2023-08-20 21:38:16,user75604@example.com,user_72187,165.12,S27
U97668,2023-03-31,East,Sports,152.49,Active,Austin,61,Premium,2023-03-31 16:20:39,user9222@example.com,user_76109,152.49,S16
U64971,2023-05-19,South,Sports,430.12,Active,Austin,20,Premium,2023-05-19 01:30:40,user84582@example.com,,430.12,S34
U10324,2023-08-14,South,Clothing,433.18,Active,New York,45,Pro,2023-08-14 06:49:36,,user_94068,433.18,S3
U14161,2023-06-11,North,Clothing,12.57,Active,San Francisco,32,Premium,2023-06-11 02:46:58,user33837@example.com,user_49993,,S10
U35971,2023-05-17,West,Clothing,29.49,Active,Chicago,32,Pro,2023-05-17 11:42:06,user18290@example.com,user_71753,29.49,S5
U32092,2023-11-28,South,Books,67.72,,Chicago,26,Premium,2023-11-28 00:14:23,user92935@example.com,user_68529,67.72,S23
U62422,2023-09-13,North,Home,182.59,Pending,Austin,46,Pro,2023-09-13 17:03:34,user2261@example.com,user_30704,182.59,S6
U55630,2023-07-10,East,Books,207.47,Active,San Francisco,33,Pro,2023-07-10 17:10:41,user2647@example.com,user_89984,207.47,S21
U5865,2023-07-17,East,Sports,28.14,Active,Los Angeles,46,Basic,2023-07-17 02:44:52,user98033@example.com,user_35207,28.14,S34
U68002,2023-02-24,North,Books,97.82,Inactive,Chicago,20,Pro,2023-02-24 17:09:43,user16034@example.com,user_53166,97.82,S38
U12010,2023-05-12,South,Sports,477.63,Active,Seattle,62,Premium,2023-05-12 12:59:42,user2001@example.com,user_37340,477.63,S4
U94183,2023-04-11,West,Sports,40.1,Inactive,Austin,36,Pro,2023-04-11 12:18:08,user43798@example.com,user_62222,40.1,S3
U62023,2023-08-19,West,Clothing,187.36,,Austin,26,Premium,2023-08-19 16:18:06,user98645@example.com,user_83699,187.36,S39
U48053,2023-02-20,North,Home,45.55,,Austin,51,Pro,2023-02-20 15:24:05,user73171@example.com,user_51245,45.55,S38
U38986,2023-11-15,North,Books,285.64,Pending,Los Angeles,31,Pro,2023-11-15 00:09:37,user25618@example.com,user_54383,285.64,S16
U40768,2023-06-01,South,Books,159.53,,Seattle,20,Premium,2023-06-01 17:55:23,user32073@example.com,user_69854,159.53,S9
U60182,2023-07-24,South,Clothing,439.3,Pending,Seattle,45,Pro,2023-07-24 23:51:01,user60693@example.com,user_87022,439.3,S9
U87203,2023-05-05,North,Sports,261.49,,New York,29,Pro,2023-05-05 18:49:22,user30353@example.com,user_35525,261.49,S30
U16373,2023-09-04,North,Clothing,345.22,Active,New York,65,Premium,2023-09-04 13:37:57,user22864@example.com,user_43085,345.22,S31
U50393,2023-12-17,South,Sports,88.99,Active,Chicago,41,Pro,2023-12-17 03:22:33,,user_42088,88.99,S19
U36085,2023-10-02,East,Books,159.75,Inactive,Seattle,17,Basic,2023-10-02 17:45:16,,user_13695,159.75,S14
U50134,2023-03-24,West,Home,387.67,,San Francisco,60,Pro,2023-03-24 04:20:38,user64499@example.com,user_83631,387.67,S10
U40422,2023-07-31,West,Electronics,49.58,,Chicago,17,Basic,2023-07-31 17:46:37,user7454@example.com,user_70268,49.58,S50
U71896,2023-09-02,West,Home,463.38,Active,New York,43,Premium,2023-09-02 10:36:08,user70905@example.com,user_37401,463.38,S15
U39995,2023-03-30,South,Electronics,367.65,,Seattle,35,Basic,2023-03-30 19:21:56,,user_89134,367.65,S41
U54378,2023-12-24,North,Sports,149.78,Pending,Chicago,48,Basic,2023-12-24 00:21:31,user22795@example.com,user_19335,149.78,S8
U5969,2023-09-24,South,Sports,19.08,Pending,Austin,34,Basic,2023-09-24 00:55:22,,user_54368,19.08,S5
U12554,2023-03-25,North,Electronics,252.04,Pending,San Francisco,60,Pro,2023-03-25 01:22:59,user54952@example.com,user_26760,252.04,S32
U75384,2023-12-25,West,Electronics,215.1,Active,New York,40,Pro,2023-12-25 23:32:12,user60215@example.com,user_11884,215.1,S5
U36585,2023-06-28,West,Electronics,17.31,Pending,Los Angeles,44,Basic,2023-06-28 14:09:58,user46456@example.com,user_38947,17.31,S20
U64746,2023-10-11,North,Home,440.99,Active,Los Angeles,60,Pro,2023-10-11 16:37:27,user46425@example.com,user_56944,440.99,S12
U94023,2023-02-02,East,Books,272.46,Pending,Austin,29,Basic,2023-02-02 11:20:06,user57081@example.com,user_2858,272.46,S30
U56318,2023-09-03,East,Books,322.51,,Los Angeles,24,Premium,2023-09-03 11:13:55,user27871@example.com,user_41592,322.51,S46
U56318,2023-09-03,East,Books,322.51,,Los Angeles,24,Premium,2023-09-03 11:13:55,user27871@example.com,user_41592,322.51,S46
U17313,2023-01-20,West,Electronics,77.24,Active,Los Angeles,42,Basic,2023-01-20 19:52:38,user80149@example.com,,,S37
U98028,2023-05-13,East,Books,396.36,Inactive,Chicago,63,Basic,2023-05-13 17:09:41,user98411@example.com,,396.36,S37
U57102,2023-10-26,West,Clothing,220.35,Inactive,San Francisco,45,Basic,2023-10-26 18:36:29,user1765@example.com,user_51843,220.35,S1
U2686,2023-12-28,South,Books,245.69,Inactive,San Francisco,18,Premium,2023-12-28 05:01:42,user3779@example.com,user_48608,245.69,S23
U69639,2023-10-28,West,Books,177.0,Inactive,Los Angeles,63,Pro,2023-10-28 09:05:10,user97407@example.com,user_93689,177.0,S21
